html_url,title,state,created_at,closed_at,has_input,has_patch,input property,refactoring type,symptom,sub symptom
https://github.com/apache/netbeans/issues/7295,Extracting local variables refactoring results in inconsistent code behavior before and after refactoring,closed,2024-04-22 09:20:16+00:00,2024-04-22 12:36:04+00:00,1,0,,Extract local variables,behavior change,behavior change
https://github.com/apache/netbeans/issues/7290,Extract method refactoring leads to inconsistent behavior before and after refactoring,closed,2024-04-22 08:21:50+00:00,2024-04-22 12:36:02+00:00,1,0,switch,Extract method,behavior change,behavior change
https://github.com/apache/netbeans/issues/7297,Inline method refactoring may lead to potential issues,closed,2024-04-22 09:51:08+00:00,2024-04-22 12:36:04+00:00,1,0,synchronized,Inline method,behavior change,behavior change
https://github.com/apache/netbeans/issues/7293,Extracting local variables and refactoring results in inconsistent code behavior before and after refactoring,closed,2024-04-22 08:58:48+00:00,2024-04-22 12:36:03+00:00,1,0,,Extract local variables ,compile error,compile error
https://github.com/apache/netbeans/issues/7298,Inline method refactoring causes naming conflict.,closed,2024-04-22 10:05:07+00:00,2024-04-22 12:36:05+00:00,1,0,,Inline method,compile error,compile error
https://github.com/apache/netbeans/issues/7294,Extracting local variables refactoring results in inconsistent code behavior before and after refactoring,closed,2024-04-22 09:11:09+00:00,2024-04-22 12:36:03+00:00,1,0,,Extract local variables,behavior change,behavior change
https://github.com/apache/netbeans/issues/7291,Extracting local variables refactoring causes syntax errors,closed,2024-04-22 08:31:37+00:00,2024-04-22 12:36:02+00:00,1,0,,Extract local variables,compile error,compile error
https://github.com/apache/netbeans/issues/7296,Inline method refactoring leads to syntax errors,closed,2024-04-22 09:35:02+00:00,2024-04-22 12:36:04+00:00,1,0,,Inline method,compile error,compile error
https://github.com/apache/netbeans/issues/7292,Extracting local variables refactoring leads to naming conflicts,closed,2024-04-22 08:44:08+00:00,2024-04-22 12:36:03+00:00,1,0,,Extract local variables,compile error,compile error
https://github.com/apache/netbeans/issues/7288,Refactoring extract method leads to code compilation errors.,closed,2024-04-22 07:27:31+00:00,2024-04-22 12:36:27+00:00,1,0,,extract method,compile error,compile error
https://github.com/apache/netbeans/issues/7299,Renaming field refactoring leads to changes in code behavior,closed,2024-04-22 10:27:37+00:00,2024-04-22 12:36:05+00:00,1,0,,Rename field,compile error,compile error
https://github.com/apache/netbeans/issues/7305,Refactoring error caused by private field call in move method refactoring,closed,2024-04-22 11:50:10+00:00,2024-04-22 12:36:07+00:00,1,0,,move method,compile error,compile error
https://github.com/apache/netbeans/issues/7313,Move method refactoring caused syntax errors due to method being moved to enumeration,closed,2024-04-22 12:27:21+00:00,2024-04-22 12:36:10+00:00,1,0,enum,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7314,Move method refactoring caused syntax errors due to method being moved to enumeration,closed,2024-04-22 12:29:30+00:00,2024-04-22 12:36:11+00:00,1,0,enum,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7312,Move method refactoring caused syntax errors due to method being moved to an interface,closed,2024-04-22 12:21:22+00:00,2024-04-22 12:36:10+00:00,1,0,interface,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7311,Move method refactoring error due to dependency on instantiation of private constructors,closed,2024-04-22 12:16:36+00:00,2024-04-22 12:36:10+00:00,1,0,private constructors,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7310,Move method refactoring error due to calling the instantiation and invocation of internal classes,closed,2024-04-22 12:14:39+00:00,2024-04-22 12:36:09+00:00,1,0,inner class,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7308,Move method refactoring error referencing static class method,closed,2024-04-22 12:07:12+00:00,2024-04-22 12:36:08+00:00,1,0,,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7307,Move method refactoring error due to 'super' call,closed,2024-04-22 12:02:40+00:00,2024-04-22 12:36:08+00:00,1,0,super,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7309,Move method refactoring error referencing static class method,closed,2024-04-22 12:10:54+00:00,2024-04-22 12:36:09+00:00,1,0,,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7304,Rename variable refactoring leads to code behavior change,closed,2024-04-22 11:26:00+00:00,2024-04-22 12:36:07+00:00,1,0,,Rename variable,compile error,compile error
https://github.com/apache/netbeans/issues/7301,Rename method leads to naming conflicts with inner class method,closed,2024-04-22 11:13:02+00:00,2024-04-22 12:36:06+00:00,1,0,inner class,Rename method,compile error,compile error
https://github.com/apache/netbeans/issues/7306,Move method refactoring error due to calling privatization method,closed,2024-04-22 11:59:12+00:00,2024-04-22 12:36:08+00:00,1,0,,Move method,compile error,compile error
https://github.com/apache/netbeans/issues/7300,Rename method leads to naming conflicts,closed,2024-04-22 11:05:21+00:00,2024-04-22 12:36:05+00:00,1,0,,Rename method,compile error,compile error
https://github.com/apache/netbeans/issues/7302,Rename method leads to naming conflict.,closed,2024-04-22 11:16:49+00:00,2024-04-22 12:36:06+00:00,1,0,,Rename method,compile error,compile error
https://github.com/apache/netbeans/issues/7303,Renaming method names to specific API method names results in behavior changes,closed,2024-04-22 11:21:55+00:00,2024-04-22 12:36:07+00:00,1,0,toString(),Rename method,behavior change,behavior change
